stack,attack_mode,perturbation_budget,force_escalation_fraction,load_multiplier,total_arrival_rate_per_s,expensive_service_rate_per_s,escalated_arrival_rate_per_s,expensive_utilization,strategy,queue_stable,resource_bound_preserved,fail_closed_safety_semantics_preserved,ordinary_response_fraction,defer_reject_fraction,expensive_bypass_fraction
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.0,1.6095958489257007,0.6762076224825601,0.44366453452901655,0.6561069703713064,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.25,2.011994811157126,0.6762076224825601,0.5545806681612707,0.820133712964133,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.25,2.011994811157126,0.6762076224825601,0.5545806681612707,0.820133712964133,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.25,2.011994811157126,0.6762076224825601,0.5545806681612707,0.820133712964133,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.5,2.414393773388551,0.6762076224825601,0.6654968017935248,0.9841604555569595,fail_open_budget_cap,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.5,2.414393773388551,0.6762076224825601,0.6654968017935248,0.9841604555569595,fail_closed_no_admission,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,1.5,2.414393773388551,0.6762076224825601,0.6654968017935248,0.9841604555569595,fail_closed_defer_reject,True,True,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,2.0,3.2191916978514015,0.6762076224825601,0.8873290690580331,1.3122139407426128,fail_open_budget_cap,True,True,False,1.0,0.0,0.06558212942596202
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,2.0,3.2191916978514015,0.6762076224825601,0.8873290690580331,1.3122139407426128,fail_closed_no_admission,False,False,True,1.0,0.0,0.0
rule_compact_to_qwen,synthetic_route_pressure,0.0001,0.27563722584469474,2.0,3.2191916978514015,0.6762076224825601,0.8873290690580331,1.0,fail_closed_defer_reject,True,True,True,0.934417870574038,0.06558212942596202,0.0
