scheme,outer_fold,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
leave_source_out,wildguardtest,0.025,full_information_always_on,1709,284,1425,127,157,16,1409,0.4471830985915493,0.011228070175438596,0.8881118881118881,0.8987712112346401,0.0836746635459333,0.3884155579269767,0.5070641827525946,0.0064310530859519625,0.018169794856995294,0.017003758516283347,1.0,1407.7604255000003,0.0
leave_source_out,wildguardtest,0.025,selective_acquisition,1709,284,1425,116,168,29,1396,0.4084507042253521,0.020350877192982456,0.8,0.8847279110590989,0.08484493856056173,0.35074378826949093,0.46808858927158137,0.013670627524877263,0.029097293240710823,0.027645182901331746,0.21299005266237567,330.6280720462259,0.765138963947793
leave_source_out,wildguardtest,0.05,full_information_always_on,1709,284,1425,213,71,46,1379,0.75,0.032280701754385965,0.8223938223938224,0.9315389116442364,0.1515506143943827,0.6954229703724135,0.7992772562067341,0.023728470986801642,0.042824933167005114,0.04108778250355151,1.0,1407.7604255000003,0.0
leave_source_out,wildguardtest,0.05,selective_acquisition,1709,284,1425,221,63,62,1363,0.778169014084507,0.04350877192982456,0.7809187279151943,0.9268578115857227,0.16559391456992392,0.7253077875560513,0.8251228134065887,0.033517845398810094,0.05543192859756039,0.05347633550824911,0.9461673493270919,1334.0829708399651,0.052336642887135354
leave_source_out,wildguardtest,0.1,full_information_always_on,1709,284,1425,240,44,75,1350,0.8450704225352113,0.05263157894736842,0.7619047619047619,0.930368636629608,0.18431831480397892,0.7976495715466898,0.885115688548071,0.04161989716989717,0.06553026892031005,0.06342029431391107,1.0,1407.7604255000003,0.0
leave_source_out,wildguardtest,0.1,selective_acquisition,1709,284,1425,243,41,94,1331,0.8556338028169014,0.06596491228070175,0.7210682492581603,0.9210064365125804,0.19719133996489174,0.8092881537190328,0.8943669814977028,0.05363195728120383,0.08012179904886323,0.07781295611429564,0.9461673493270919,1334.0829708399651,0.052336642887135354
leave_source_out,xstest_safe_gpt4,0.01,full_information_always_on,250,0,250,0,0,2,248,,0.008,0.0,0.992,0.008,,,0.0009703097230388862,0.028598347244961176,0.02496768176927198,1.0,1407.7604255000003,0.0
leave_source_out,xstest_safe_gpt4,0.01,selective_acquisition,250,0,250,0,0,2,248,,0.008,0.0,0.992,0.008,,,0.0009703097230388862,0.028598347244961176,0.02496768176927198,0.28,422.34048626000003,0.699991221084372
leave_source_out,xstest_safe_gpt4,0.025,full_information_always_on,250,0,250,0,0,2,248,,0.008,0.0,0.992,0.008,,,0.0009703097230388862,0.028598347244961176,0.02496768176927198,1.0,1407.7604255000003,0.0
leave_source_out,xstest_safe_gpt4,0.025,selective_acquisition,250,0,250,0,0,2,248,,0.008,0.0,0.992,0.008,,,0.0009703097230388862,0.028598347244961176,0.02496768176927198,0.852,1205.2018824340003,0.14388708433400976
leave_source_out,xstest_safe_gpt4,0.05,full_information_always_on,250,0,250,0,0,10,240,,0.04,0.0,0.96,0.04,,,0.01934549850526453,0.0723293554903805,0.06690426305497835,1.0,1407.7604255000003,0.0
leave_source_out,xstest_safe_gpt4,0.05,selective_acquisition,250,0,250,0,0,11,239,,0.044,0.0,0.956,0.044,,,0.022166258024693034,0.07736291656955734,0.07177970349205483,0.908,1281.8456554860002,0.08944332269411426
leave_source_out,xstest_safe_gpt4,0.1,full_information_always_on,250,0,250,0,0,20,230,,0.08,0.0,0.92,0.08,,,0.049549744218313305,0.12085038082992018,0.1141266763694339,1.0,1407.7604255000003,0.0
leave_source_out,xstest_safe_gpt4,0.1,selective_acquisition,250,0,250,0,0,20,230,,0.08,0.0,0.92,0.08,,,0.049549744218313305,0.12085038082992018,0.1141266763694339,0.868,1227.1001033060002,0.12833172386546832
leave_family_out,GCG,0.01,full_information_always_on,50,38,12,18,20,0,12,0.47368421052631576,0.0,1.0,0.6,0.36,0.3098073016082087,0.6418165637394962,0.0,0.2646484693970512,0.22092219194555585,1.0,1407.7604255,0.0
leave_family_out,GCG,0.01,selective_acquisition,50,38,12,17,21,0,12,0.4473684210526316,0.0,1.0,0.58,0.34,0.2862414990005962,0.6170092488357104,0.0,0.2646484693970512,0.22092219194555585,0.44,641.3226949799999,0.544437616398956
leave_family_out,GCG,0.025,full_information_always_on,50,38,12,25,13,0,12,0.6578947368421053,0.0,1.0,0.74,0.5,0.4864732448393359,0.8036709070509503,0.0,0.2646484693970512,0.22092219194555585,1.0,1407.7604255,0.0
leave_family_out,GCG,0.025,selective_acquisition,50,38,12,26,12,0,12,0.6842105263157895,0.0,1.0,0.76,0.52,0.5134729455939784,0.8249746610988732,0.0,0.2646484693970512,0.22092219194555585,0.64,915.0504558799998,0.3499956105421861
leave_family_out,GCG,0.05,full_information_always_on,50,38,12,38,0,2,10,1.0,0.16666666666666666,0.95,0.96,0.8,0.9074872385841217,1.0,0.020862525460092384,0.48413774868596704,0.43810543511531136,1.0,1407.7604255,0.0
leave_family_out,GCG,0.05,selective_acquisition,50,38,12,38,0,2,10,1.0,0.16666666666666666,0.95,0.96,0.8,0.9074872385841217,1.0,0.020862525460092384,0.48413774868596704,0.43810543511531136,1.0,1407.7604255,0.0
leave_family_out,GCG,0.1,full_information_always_on,50,38,12,38,0,4,8,1.0,0.3333333333333333,0.9047619047619048,0.92,0.84,0.9074872385841217,1.0,0.09924609114958328,0.6511244935811844,0.6091376982290366,1.0,1407.7604255,0.0
leave_family_out,GCG,0.1,selective_acquisition,50,38,12,38,0,6,6,1.0,0.5,0.8636363636363636,0.88,0.88,0.9074872385841217,1.0,0.21094463823929666,0.7890553617607033,0.7547001987258748,0.86,1216.1509928699998,0.13610940409973926
