split,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
final_test,0.025,full_information_always_on,422,74,348,34,40,6,342,0.4594594594594595,0.017241379310344827,0.85,0.8909952606635071,0.0947867298578199,0.34291959170623343,0.5793443273251749,0.006352902648328936,0.03714766974446826,0.03374472050061135,1.0,1407.7604255,0.0
final_test,0.025,selective_acquisition,422,74,348,37,37,10,338,0.5,0.028735632183908046,0.7872340425531915,0.8886255924170616,0.11137440758293839,0.3814250061613941,0.6185749938386059,0.013864071683102604,0.052209668165394456,0.048254495910138064,0.35071090047393366,519.118168549763,0.6312453744639215
final_test,0.05,full_information_always_on,422,74,348,56,18,10,338,0.7567567567567568,0.028735632183908046,0.8484848484848485,0.933649289099526,0.15639810426540285,0.64308570341131,0.8490182062799786,0.013864071683102604,0.052209668165394456,0.048254495910138064,1.0,1407.7604255,0.0
final_test,0.05,selective_acquisition,422,74,348,53,21,14,334,0.7162162162162162,0.040229885057471264,0.7910447761194029,0.9170616113744076,0.15876777251184834,0.5994796366918442,0.814988925072051,0.02216568843992872,0.06657827457063262,0.06217831166867447,0.6895734597156398,982.8986165201421,0.3017997958203421
final_test,0.1,full_information_always_on,422,74,348,65,9,32,316,0.8783783783783784,0.09195402298850575,0.6701030927835051,0.9028436018957346,0.22985781990521326,0.7816389033305587,0.9428504456773248,0.0637481473485533,0.12733031195848082,0.12154094291757513,1.0,1407.7604255,0.0
final_test,0.1,selective_acquisition,422,74,348,65,9,32,316,0.8783783783783784,0.09195402298850575,0.6701030927835051,0.9028436018957346,0.22985781990521326,0.7816389033305587,0.9428504456773248,0.0637481473485533,0.12733031195848082,0.12154094291757513,0.8554502369668247,1209.9240106315167,0.140532729351457
held_out_shift,0.01,full_information_always_on,50,38,12,5,33,0,12,0.13157894736842105,0.0,1.0,0.34,0.1,0.04413744005791443,0.2808638458837533,0.0,0.2646484693970512,0.22092219194555585,1.0,1407.7604255,0.0
held_out_shift,0.01,selective_acquisition,50,38,12,3,35,1,11,0.07894736842105263,0.08333333333333333,0.75,0.28,0.08,0.016586475864529524,0.21377329118061816,0.0021075932318602264,0.38479616515094406,0.3386806684340324,0.5,723.4410232499998,0.4861050146419251
held_out_shift,0.025,full_information_always_on,50,38,12,24,14,0,12,0.631578947368421,0.0,1.0,0.72,0.48,0.4599427859244378,0.7818749649038482,0.0,0.2646484693970512,0.22092219194555585,1.0,1407.7604255,0.0
held_out_shift,0.025,selective_acquisition,50,38,12,24,14,1,11,0.631578947368421,0.08333333333333333,0.96,0.7,0.5,0.4599427859244378,0.7818749649038482,0.0021075932318602264,0.38479616515094406,0.3386806684340324,0.56,805.5593515199997,0.4277724128848942
held_out_shift,0.05,full_information_always_on,50,38,12,35,3,2,10,0.9210526315789473,0.16666666666666666,0.9459459459459459,0.9,0.74,0.7862267088193818,0.9834135241354705,0.020862525460092384,0.48413774868596704,0.43810543511531136,1.0,1407.7604255,0.0
held_out_shift,0.05,selective_acquisition,50,38,12,34,4,3,9,0.8947368421052632,0.25,0.918918918918919,0.86,0.74,0.751950620782978,0.9705654825542123,0.05486064452799272,0.5718584618781891,0.5273266035603434,0.84,1188.7782167799999,0.15555360468541612
held_out_shift,0.1,full_information_always_on,50,38,12,38,0,6,6,1.0,0.5,0.8636363636363636,0.88,0.88,0.9074872385841217,1.0,0.21094463823929666,0.7890553617607033,0.7547001987258748,1.0,1407.7604255,0.0
held_out_shift,0.1,selective_acquisition,50,38,12,38,0,6,6,1.0,0.5,0.8636363636363636,0.88,0.88,0.9074872385841217,1.0,0.21094463823929666,0.7890553617607033,0.7547001987258748,0.78,1106.65988851,0.21388620644244705
