seed,outer_fold,policy,family,budget_fraction,budget_ms,status,calibration_rows,evaluation_rows,calibration_expected_total_cost_ms,evaluation_mean_total_cost_ms,evaluation_recall,evaluation_fpr,evaluation_acquisition_rate,mixture,error
1729,1,signed_value_cost_aware,Ridge,0.75,2820.764416584974,evaluated,1349.0,338.0,2820.7644165849742,2903.7703927011835,0.8275862068965517,0.02857142857142857,0.7396449704142012,"{""absolute_cost_budget_ms"": 2820.764416584974, ""calibration_expected_total_cost_ms"": 2820.7644165849742, ""calibration_lower_threshold_cost_ms"": 2822.6619399399556, ""calibration_upper_threshold_cost_ms"": 2820.113721431431, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 9.073956234921713e-06, ""lower_threshold_probability"": 0.2553529657547649, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.75::seed=1729::outer_fold=1"", ""upper_acquisition_threshold"": 9.120914813901356e-06}",
1729,2,signed_value_cost_aware,Ridge,0.75,2820.764416584974,evaluated,1349.0,338.0,2820.764416584974,2852.1912589467456,0.7627118644067796,0.05017921146953405,0.7366863905325444,"{""absolute_cost_budget_ms"": 2820.764416584974, ""calibration_expected_total_cost_ms"": 2820.764416584974, ""calibration_lower_threshold_cost_ms"": 2825.7987739807263, ""calibration_upper_threshold_cost_ms"": 2820.5779407939212, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 9.225963817745233e-06, ""lower_threshold_probability"": 0.03571763057357125, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.75::seed=1729::outer_fold=2"", ""upper_acquisition_threshold"": 9.291314949029751e-06}",
1729,3,signed_value_cost_aware,Ridge,0.75,2820.764416584974,evaluated,1350.0,337.0,2820.764416584974,2796.4127304569733,0.8103448275862069,0.04659498207885305,0.7032640949554896,"{""absolute_cost_budget_ms"": 2820.764416584974, ""calibration_expected_total_cost_ms"": 2820.764416584974, ""calibration_lower_threshold_cost_ms"": 2820.9838860022223, ""calibration_upper_threshold_cost_ms"": 2818.633516081482, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 9.586950341589202e-06, ""lower_threshold_probability"": 0.9066234573069191, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.75::seed=1729::outer_fold=3"", ""upper_acquisition_threshold"": 9.637692403938812e-06}",
1729,4,signed_value_cost_aware,Ridge,0.75,2820.764416584974,evaluated,1350.0,337.0,2820.7644165849742,2749.052671973294,0.8448275862068966,0.05017921146953405,0.6943620178041543,"{""absolute_cost_budget_ms"": 2820.764416584974, ""calibration_expected_total_cost_ms"": 2820.7644165849742, ""calibration_lower_threshold_cost_ms"": 2822.436477534815, ""calibration_upper_threshold_cost_ms"": 2819.1024701155557, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 9.748058724569504e-06, ""lower_threshold_probability"": 0.4984831346858181, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.75::seed=1729::outer_fold=4"", ""upper_acquisition_threshold"": 9.835672274072514e-06}",
1729,5,signed_value_cost_aware,Ridge,0.75,2820.764416584974,evaluated,1350.0,337.0,2820.764416584974,2816.32587211276,0.7931034482758621,0.021505376344086023,0.6913946587537092,"{""absolute_cost_budget_ms"": 2820.764416584974, ""calibration_expected_total_cost_ms"": 2820.764416584974, ""calibration_lower_threshold_cost_ms"": 2824.1272592162964, ""calibration_upper_threshold_cost_ms"": 2820.3254770259264, ""hash_seed"": 1729, ""lower_acquisition_threshold"": 9.370980380174105e-06, ""lower_threshold_probability"": 0.11545626158154426, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=0.75::seed=1729::outer_fold=5"", ""upper_acquisition_threshold"": 9.54956109358047e-06}",
1729,1,signed_value_cost_aware,Ridge,1.0,3746.425369410433,evaluated,1349.0,338.0,3746.425369410433,3768.2536698905324,0.8793103448275862,0.03214285714285714,0.9881656804733728,"{""absolute_cost_budget_ms"": 3746.425369410433, ""calibration_expected_total_cost_ms"": 3746.425369410433, ""calibration_lower_threshold_cost_ms"": 3747.2534623217193, ""calibration_upper_threshold_cost_ms"": 3745.477054709414, ""hash_seed"": 1729, ""lower_acquisition_threshold"": -2.7473162176787068e-05, ""lower_threshold_probability"": 0.5338384582739448, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=1.00::seed=1729::outer_fold=1"", ""upper_acquisition_threshold"": -2.746398274164172e-05}",
1729,2,signed_value_cost_aware,Ridge,1.0,3746.425369410433,evaluated,1349.0,338.0,3746.4253694104336,3732.2787309082846,0.7796610169491526,0.06093189964157706,0.9881656804733728,"{""absolute_cost_budget_ms"": 3746.425369410433, ""calibration_expected_total_cost_ms"": 3746.4253694104336, ""calibration_lower_threshold_cost_ms"": 3747.0327184173457, ""calibration_upper_threshold_cost_ms"": 3745.271339535211, ""hash_seed"": 1729, ""lower_acquisition_threshold"": -2.573813501712577e-05, ""lower_threshold_probability"": 0.6551854838997015, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=1.00::seed=1729::outer_fold=2"", ""upper_acquisition_threshold"": -2.544950893681534e-05}",
1729,3,signed_value_cost_aware,Ridge,1.0,3746.425369410433,evaluated,1350.0,337.0,3746.425369410433,3744.5920452047485,0.8620689655172413,0.053763440860215055,0.9703264094955489,"{""absolute_cost_budget_ms"": 3746.425369410433, ""calibration_expected_total_cost_ms"": 3746.425369410433, ""calibration_lower_threshold_cost_ms"": 3747.670249532593, ""calibration_upper_threshold_cost_ms"": 3745.8949627407414, ""hash_seed"": 1729, ""lower_acquisition_threshold"": -2.7132064590320977e-05, ""lower_threshold_probability"": 0.2987723854682195, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=1.00::seed=1729::outer_fold=3"", ""upper_acquisition_threshold"": -2.6262677069921905e-05}",
1729,4,signed_value_cost_aware,Ridge,1.0,3746.425369410433,evaluated,1350.0,337.0,3746.425369410433,3640.8354387359054,0.896551724137931,0.04659498207885305,0.9406528189910979,"{""absolute_cost_budget_ms"": 3746.425369410433, ""calibration_expected_total_cost_ms"": 3746.425369410433, ""calibration_lower_threshold_cost_ms"": 3747.5327112444447, ""calibration_upper_threshold_cost_ms"": 3745.9016385148147, ""hash_seed"": 1729, ""lower_acquisition_threshold"": -2.2335707685455534e-05, ""lower_threshold_probability"": 0.32109597941548607, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=1.00::seed=1729::outer_fold=4"", ""upper_acquisition_threshold"": -2.1824428217471732e-05}",
1729,5,signed_value_cost_aware,Ridge,1.0,3746.425369410433,evaluated,1350.0,337.0,3746.4253694104327,3849.7904506142436,0.8448275862068966,0.03225806451612903,0.9970326409495549,"{""absolute_cost_budget_ms"": 3746.425369410433, ""calibration_expected_total_cost_ms"": 3746.4253694104327, ""calibration_lower_threshold_cost_ms"": 3747.8403491948143, ""calibration_upper_threshold_cost_ms"": 3745.7165391051853, ""hash_seed"": 1729, ""lower_acquisition_threshold"": -3.304569898345758e-05, ""lower_threshold_probability"": 0.3337540906831622, ""policy_id"": ""development_oof::signed_value_cost_aware::Ridge::budget=1.00::seed=1729::outer_fold=5"", ""upper_acquisition_threshold"": -3.295424391619068e-05}",
