policy,family,budget_fraction,budget_ms,seed,rows,recall,false_positive_rate,mean_total_cost_ms,acquisition_rate
current_error_prediction,LogisticRegression,1.0,3746.425369410433,3141,1687,0.8556701030927835,0.04871060171919771,3736.529259403675,0.974510966212211
current_error_prediction,LogisticRegression,1.0,3746.425369410433,5772,1687,0.8625429553264605,0.04871060171919771,3748.3658064931833,0.979253112033195
current_error_prediction,LogisticRegression,1.0,3746.425369410433,8111,1687,0.8625429553264605,0.04512893982808023,3747.51984506639,0.974510966212211
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,1729,1687,0.2646048109965636,0.034383954154727794,405.536276764671,0.056312981624184945
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,2718,1687,0.3024054982817869,0.04011461318051576,419.8325149875519,0.05749851807943094
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,3141,1687,0.2852233676975945,0.0336676217765043,418.9020150823947,0.058091286307053944
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,5772,1687,0.27835051546391754,0.03151862464183381,417.90232727445164,0.06105512744516894
current_error_prediction,RandomForestClassifier,0.1,414.045939238779,8111,1687,0.2852233676975945,0.03724928366762178,415.2932429069354,0.06105512744516894
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,1729,1687,0.4329896907216495,0.025787965616045846,792.0463009697689,0.14285714285714285
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,2718,1687,0.4261168384879725,0.027220630372492838,778.3179976390043,0.14285714285714285
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,3141,1687,0.39862542955326463,0.022922636103151862,789.7930362708952,0.14522821576763487
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,5772,1687,0.42955326460481097,0.025787965616045846,778.2317476846473,0.14344991108476585
current_error_prediction,RandomForestClassifier,0.2,784.3103203689628,8111,1687,0.436426116838488,0.027936962750716332,781.6041321369296,0.14463544754001187
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,1729,1687,0.563573883161512,0.02363896848137536,1154.3409719270896,0.23295791345583877
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,2718,1687,0.563573883161512,0.029369627507163324,1159.4476128174274,0.23295791345583877
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,3141,1687,0.5395189003436426,0.025071633237822348,1148.978534171903,0.22821576763485477
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,5772,1687,0.563573883161512,0.024355300859598854,1161.6028726164789,0.23770005927682275
current_error_prediction,RandomForestClassifier,0.3,1154.5747014991466,8111,1687,0.5601374570446735,0.025071633237822348,1157.1339242027268,0.23177237700059278
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,1729,1687,0.7319587628865979,0.0336676217765043,1912.0709418630704,0.4167160640189686
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,2718,1687,0.718213058419244,0.034383954154727794,1892.1765380225252,0.4096028452874926
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,3141,1687,0.7353951890034365,0.03724928366762178,1898.6920293775931,0.41197391819798457
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,5772,1687,0.738831615120275,0.03724928366762178,1881.9186795566095,0.4107883817427386
current_error_prediction,RandomForestClassifier,0.5,1895.1034637595142,8111,1687,0.7319587628865979,0.03510028653295129,1890.874143360403,0.4084173088322466
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,1729,1687,0.8316151202749141,0.04297994269340974,2802.4156490432724,0.6526378186129224
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,2718,1687,0.8178694158075601,0.04154727793696275,2828.545715809722,0.6603438055720213
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,3141,1687,0.8384879725085911,0.04871060171919771,2816.065353558388,0.6556016597510373
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,5772,1687,0.8384879725085911,0.04799426934097421,2810.9634234143446,0.6556016597510373
current_error_prediction,RandomForestClassifier,0.75,2820.764416584974,8111,1687,0.8350515463917526,0.04369627507163324,2830.6831113361,0.6603438055720213
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,1729,1687,0.852233676975945,0.04512893982808023,3745.6815961547127,0.951393005334914
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,2718,1687,0.852233676975945,0.04512893982808023,3745.3824178251334,0.950800237107291
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,3141,1687,0.8556701030927835,0.0494269340974212,3751.6807025548314,0.9543568464730291
current_error_prediction,RandomForestClassifier,1.0,3746.425369410433,5772,1687,0.8625429553264605,0.0494269340974212,3746.7655073088326,0.951985773562537
