signed_family,budget_fraction,budget_ms,comparator,mean_recall_difference,positive_seed_count,negative_seed_count,zero_seed_count,minimum_4_of_5_same_sign,minimum_4_of_5_positive,proposed_max_seed_fpr,comparator_max_seed_fpr,development_empirical_fpr_feasible,cost_equivalent,cost_observed_mean_difference_ms,cost_equivalence_margin_ms,cost_lower_one_sided_bound_ms,cost_upper_one_sided_bound_ms,cost_alpha,cost_bootstrap_repetitions,cost_group_count
HistGradientBoostingRegressor,0.75,2820.764416584974,threshold_distance,0.06323024054982815,5,0,0,True,True,0.03868194842406877,0.04369627507163324,True,False,-88.15313643710729,28.20764416584974,-142.61552602963252,-34.613135529555414,0.05,5000,1687
HistGradientBoostingRegressor,0.75,2820.764416584974,current_error_prediction,-0.04810996563573888,0,5,0,True,False,0.03868194842406877,0.04727793696275072,True,False,14.99992755755781,28.20764416584974,-35.45118664709545,62.772653467646705,0.05,5000,1687
HistGradientBoostingRegressor,0.75,2820.764416584974,random_acquisition,0.08109965635738828,5,0,0,True,True,0.03868194842406877,0.05157593123209169,False,False,15.035773324007112,28.20764416584974,-40.228635271198584,70.63869605913457,0.05,5000,1687
HistGradientBoostingRegressor,1.0,3746.425369410433,current_error_prediction,-0.006185567010309301,0,5,0,True,False,0.04799426934097421,0.0494269340974212,True,True,-4.61973538767042,37.464253694104336,-21.311016463070537,11.736064952507418,0.05,5000,1687
RandomForestRegressor,0.1,414.045939238779,threshold_distance,-0.012371134020618558,0,4,1,True,False,0.03008595988538682,0.029369627507163324,True,False,-2.864326368938936,4.14045939238779,-45.95539804129816,39.107367072851225,0.05,5000,1687
RandomForestRegressor,0.1,414.045939238779,current_error_prediction,-0.04742268041237113,0,5,0,True,False,0.03008595988538682,0.042263610315186245,True,False,-2.9526788774155213,4.14045939238779,-36.78836667857142,29.645919321185552,0.05,5000,1687
RandomForestRegressor,0.1,414.045939238779,random_acquisition,-0.006185567010309268,2,2,1,False,False,0.03008595988538682,0.05300859598853868,False,False,-5.797904745228223,4.14045939238779,-43.08383646571665,31.911797577502078,0.05,5000,1687
RandomForestRegressor,0.2,784.3103203689628,threshold_distance,0.0027491408934707806,3,2,0,False,False,0.022922636103151862,0.022922636103151862,True,False,-8.241084175933615,7.843103203689629,-59.38825339550681,41.169043912981635,0.05,5000,1687
RandomForestRegressor,0.2,784.3103203689628,current_error_prediction,-0.06597938144329897,0,5,0,True,False,0.022922636103151862,0.034383954154727794,True,False,2.932227327208055,7.843103203689629,-43.302664053787794,49.0253667251986,0.05,5000,1687
RandomForestRegressor,0.2,784.3103203689628,random_acquisition,0.04329896907216495,5,0,0,True,True,0.022922636103151862,0.05659025787965616,False,False,0.4209882882039156,7.843103203689629,-58.209134439918195,60.04504954124955,0.05,5000,1687
RandomForestRegressor,0.3,1154.5747014991466,threshold_distance,0.04604810996563572,5,0,0,True,True,0.02363896848137536,0.02148997134670487,True,False,-1.2175027793716358,11.545747014991466,-60.712553591659734,55.60606750467104,0.05,5000,1687
RandomForestRegressor,0.3,1154.5747014991466,current_error_prediction,-0.0859106529209622,0,5,0,True,False,0.02363896848137536,0.0329512893982808,True,False,1.2412498077060001,11.545747014991466,-47.73416008508003,49.50110995986366,0.05,5000,1687
RandomForestRegressor,0.3,1154.5747014991466,random_acquisition,0.0859106529209622,5,0,0,True,True,0.02363896848137536,0.05659025787965616,False,False,8.354626897214002,11.545747014991466,-62.27769559829875,81.23370387814346,0.05,5000,1687
RandomForestRegressor,0.5,1895.1034637595142,threshold_distance,0.0536082474226804,5,0,0,True,True,0.0329512893982808,0.03151862464183381,True,False,-204.23952335992888,18.951034637595143,-270.2970474322584,-139.2696457931476,0.05,5000,1687
RandomForestRegressor,0.5,1895.1034637595142,current_error_prediction,-0.08178694158075603,0,5,0,True,False,0.0329512893982808,0.036532951289398284,True,False,5.9153211496146865,18.951034637595143,-48.1992341235566,58.79962792054535,0.05,5000,1687
RandomForestRegressor,0.5,1895.1034637595142,random_acquisition,0.12577319587628866,5,0,0,True,True,0.0329512893982808,0.05659025787965616,False,False,-0.09418248867814247,18.951034637595143,-76.95326850702548,76.01344992078364,0.05,5000,1687
RandomForestRegressor,0.75,2820.764416584974,threshold_distance,0.05085910652920964,5,0,0,True,True,0.04011461318051576,0.04369627507163324,True,False,-95.41047540640189,28.20764416584974,-152.48106644294012,-40.317772367368086,0.05,5000,1687
RandomForestRegressor,0.75,2820.764416584974,current_error_prediction,-0.060481099656357395,0,5,0,True,False,0.04011461318051576,0.04727793696275072,True,False,7.742588588263216,28.20764416584974,-46.207391830011844,60.66887865256077,0.05,5000,1687
RandomForestRegressor,0.75,2820.764416584974,random_acquisition,0.06872852233676977,5,0,0,True,True,0.04011461318051576,0.05157593123209169,False,False,7.778434354712502,28.20764416584974,-54.18149836272551,68.0392010933373,0.05,5000,1687
RandomForestRegressor,1.0,3746.425369410433,current_error_prediction,-0.010309278350515472,0,5,0,True,False,0.04871060171919771,0.0494269340974212,True,True,-7.837067551037335,37.464253694104336,-28.90946061064018,12.524749606621237,0.05,5000,1687
