scheme,outer_fold,family,policy_id,frozen_role,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,avg_estimated_cost_ms,median_estimated_cost_ms,p95_estimated_cost_ms,rule_call_rate,compact_call_rate,qwen_call_rate
leave_family_out,GCG,fixed_cascade,fixed_rule_gate_010_to_qwen_005,required_baseline,50,38,12,11,27,0,12,0.2894736842105263,0.0,1.0,0.46,0.22,0.15424628678790986,0.4590320669242924,0.0,0.2646484693970512,0.22092219194555585,384.25398126,1.035116,1369.6739205,1.0,0.0,0.28
leave_family_out,GCG,cheapest_monitor_only,rule_only_t_0.77122127,required_baseline,50,38,12,3,35,3,9,0.07894736842105263,0.25,0.5,0.24,0.12,0.016586475864529524,0.21377329118061816,0.05486064452799272,0.5718584618781891,0.5273266035603434,1.0351160000000001,1.035116,1.035116,1.0,0.0,0.0
leave_family_out,PAIR,strongest_single_monitor,qwen_only_t_1,primary_budget_aware_policy,100,43,57,40,3,9,48,0.9302325581395349,0.15789473684210525,0.8163265306122449,0.88,0.49,0.8093927681142077,0.9853745030048677,0.07483116920051248,0.2786826300687293,0.2593598895364318,1368.6388044999997,1368.6388044999999,1368.6388044999999,0.0,0.0,1.0
leave_family_out,PAIR,all_monitors_always_on,all_max_t_1,required_baseline,100,43,57,40,3,9,48,0.9302325581395349,0.15789473684210525,0.8163265306122449,0.88,0.49,0.8093927681142077,0.9853745030048677,0.07483116920051248,0.2786826300687293,0.2593598895364318,1407.7604254999999,1407.7604254999999,1407.7604254999999,1.0,1.0,1.0
leave_family_out,PAIR,learned_stacker_router,serialized_router_low0.1111_high0.5549_full0.7993,required_baseline,100,43,57,29,14,5,52,0.6744186046511628,0.08771929824561403,0.8529411764705882,0.81,0.34,0.514560231847766,0.8092372479970912,0.029098582817102384,0.19295733056970338,0.1756310814120717,887.67767979,1407.7604254999999,1407.7604254999999,1.0,1.0,0.62
leave_family_out,PAIR,cost_tuned_cascade,cascade_rl0_rh0.8923_cl0.008833_ch0.5077_q1,required_baseline,100,43,57,30,13,7,50,0.6976744186046512,0.12280701754385964,0.8108108108108109,0.8,0.37,0.5387466942659677,0.8281750075147865,0.050828940158567204,0.2367949993624274,0.21832469358086445,431.83735875499997,39.121621000000005,1407.7604254999999,1.0,0.89,0.29
leave_family_out,PAIR,fixed_cascade,fixed_rule_gate_010_to_qwen_005,required_baseline,100,43,57,20,23,1,56,0.46511627906976744,0.017543859649122806,0.9523809523809523,0.76,0.21,0.3117618790223496,0.6234527398899243,0.00044407344008939235,0.09391684189191078,0.08054179606307729,452.6859214849999,1.035116,1369.6739205,1.0,0.0,0.33
leave_family_out,PAIR,cheapest_monitor_only,rule_only_t_0.89233112,required_baseline,100,43,57,10,33,1,56,0.23255813953488372,0.017543859649122806,0.9090909090909091,0.66,0.11,0.11755357110870182,0.38630821183958336,0.00044407344008939235,0.09391684189191078,0.08054179606307729,1.0351160000000004,1.035116,1.035116,1.0,0.0,0.0
leave_family_out,random_search,cost_tuned_cascade,cascade_rl0_rh0.9887_cl0.00572_ch0.5012_q1,primary_budget_aware_policy,50,38,12,33,5,3,9,0.868421052631579,0.25,0.9166666666666666,0.84,0.72,0.7191361541162467,0.9558625599420856,0.05486064452799272,0.5718584618781891,0.5273266035603434,1270.8965450499998,1407.7604254999999,1407.7604254999999,1.0,1.0,0.9
leave_family_out,random_search,strongest_single_monitor,qwen_only_t_1,required_baseline,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,1368.6388045000003,1368.6388044999999,1368.6388044999999,0.0,0.0,1.0
leave_family_out,random_search,all_monitors_always_on,all_max_t_1,required_baseline,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683,0.94,0.82,0.9074872385841217,1.0,0.05486064452799272,0.5718584618781891,0.5273266035603434,1407.7604255,1407.7604254999999,1407.7604254999999,1.0,1.0,1.0
leave_family_out,random_search,learned_stacker_router,serialized_router_low0.1058_high0.4836_full0.7964,required_baseline,50,38,12,22,16,1,11,0.5789473684210527,0.08333333333333333,0.9565217391304348,0.66,0.46,0.40821445411990515,0.7369017627485158,0.0021075932318602264,0.38479616515094406,0.3386806684340324,805.5593515199997,1407.7604254999999,1407.7604254999999,1.0,1.0,0.56
leave_family_out,random_search,fixed_cascade,fixed_rule_gate_010_to_qwen_005,required_baseline,50,38,12,10,28,0,12,0.2631578947368421,0.0,1.0,0.44,0.2,0.13403372302497357,0.43100824370223945,0.0,0.2646484693970512,0.22092219194555585,274.7628768999999,1.035116,1369.6739205,1.0,0.0,0.2
leave_family_out,random_search,cheapest_monitor_only,rule_only_t_0.79234149,required_baseline,50,38,12,7,31,0,12,0.18421052631578946,0.0,1.0,0.38,0.14,0.07742685183884879,0.34326199431092114,0.0,0.2646484693970512,0.22092219194555585,1.0351160000000001,1.035116,1.035116,1.0,0.0,0.0
