scheme,outer_fold,target_fpr,policy,threshold,selection_recall,selection_fpr,selection_precision,selection_qwen_call_rate,router_low_allow_threshold,router_high_intercept_threshold,full_fusion_threshold
leave_source_out,xstest_safe_gpt4,0.025,selective_acquisition,,0.8208955223880597,0.02385685884691849,0.9016393442622951,0.8932496075353218,0.142938586797421,0.7555424321877974,0.764248265295171
leave_source_out,xstest_safe_gpt4,0.05,full_information_always_on,0.24831806114568175,0.917910447761194,0.039761431411530816,0.8601398601398601,1.0,,,
leave_source_out,xstest_safe_gpt4,0.05,selective_acquisition,,0.917910447761194,0.04572564612326044,0.8424657534246576,0.9152276295133438,0.14290359068578493,0.5748017572197516,0.2482552425081757
leave_source_out,xstest_safe_gpt4,0.1,full_information_always_on,0.09028438066514269,0.9253731343283582,0.08151093439363817,0.7515151515151515,1.0,,,
leave_source_out,xstest_safe_gpt4,0.1,selective_acquisition,,0.9253731343283582,0.0874751491053678,0.7380952380952381,0.8288854003139717,0.14290359068578493,0.42242705888371906,0.2482552425081757
leave_family_out,GCG,0.01,full_information_always_on,0.8547655357621103,0.38524590163934425,0.008605851979345954,0.9038461538461539,1.0,,,
leave_family_out,GCG,0.01,selective_acquisition,,0.3524590163934426,0.0068846815834767644,0.9148936170212766,0.2503556187766714,0.21033216768393206,0.6677980998316186,0.8663274550794254
leave_family_out,GCG,0.025,full_information_always_on,0.778250430470151,0.6475409836065574,0.022375215146299483,0.8586956521739131,1.0,,,
leave_family_out,GCG,0.025,selective_acquisition,,0.6475409836065574,0.024096385542168676,0.8494623655913979,0.465149359886202,0.11103175228986448,0.6677980998316186,0.7747065150457617
leave_family_out,GCG,0.05,full_information_always_on,0.24735681556163552,0.860655737704918,0.04647160068846816,0.7954545454545454,1.0,,,
leave_family_out,GCG,0.05,selective_acquisition,,0.8442622950819673,0.04475043029259897,0.7984496124031008,0.9359886201991465,0.1080910146194332,0.6677980998316186,0.2757970367568301
leave_family_out,GCG,0.1,full_information_always_on,0.07426128934560047,0.8934426229508197,0.09466437177280551,0.6646341463414634,1.0,,,
leave_family_out,GCG,0.1,selective_acquisition,,0.8934426229508197,0.0981067125645439,0.6566265060240963,0.871977240398293,0.1080910146194332,0.4422421071244768,0.07284043950508375
leave_family_out,PAIR,0.01,full_information_always_on,0.7916111324512334,0.5,0.008818342151675485,0.9230769230769231,1.0,,,
leave_family_out,PAIR,0.01,selective_acquisition,,0.48333333333333334,0.007054673721340388,0.9354838709677419,0.33624454148471616,0.14729084023408623,0.8297644206331621,0.7723773246412303
leave_family_out,PAIR,0.025,full_information_always_on,0.7724238656651072,0.7666666666666667,0.024691358024691357,0.8679245283018868,1.0,,,
leave_family_out,PAIR,0.025,selective_acquisition,,0.7666666666666667,0.024691358024691357,0.8679245283018868,0.8500727802037845,0.11024582671324247,0.8297644206331621,0.7723773246412303
leave_family_out,PAIR,0.05,full_information_always_on,0.23000915227931812,0.875,0.04938271604938271,0.7894736842105263,1.0,,,
leave_family_out,PAIR,0.05,selective_acquisition,,0.8666666666666667,0.04938271604938271,0.7878787878787878,0.9359534206695779,0.11014616689858268,0.8297644206331621,0.23001148671276134
leave_family_out,PAIR,0.1,full_information_always_on,0.0847578303863196,0.9,0.07583774250440917,0.7152317880794702,1.0,,,
leave_family_out,PAIR,0.1,selective_acquisition,,0.9,0.08994708994708994,0.6792452830188679,0.8719068413391557,0.11014616689858268,0.47609226273398103,0.0792094722552551
leave_family_out,random_search,0.01,full_information_always_on,0.8301697135972012,0.4098360655737705,0.008605851979345954,0.9090909090909091,1.0,,,
leave_family_out,random_search,0.01,selective_acquisition,,0.4016393442622951,0.008605851979345954,0.9074074074074074,0.2503556187766714,0.19990579863137797,0.915421196632548,0.4372349841608163
leave_family_out,random_search,0.025,full_information_always_on,0.7920853062532464,0.5163934426229508,0.022375215146299483,0.8289473684210527,1.0,,,
leave_family_out,random_search,0.025,selective_acquisition,,0.5245901639344263,0.024096385542168676,0.8205128205128205,0.3783783783783784,0.13782295065985845,0.915421196632548,0.17808210116991885
leave_family_out,random_search,0.05,full_information_always_on,0.2796157322330375,0.8688524590163934,0.043029259896729774,0.8091603053435115,1.0,,,
leave_family_out,random_search,0.05,selective_acquisition,,0.8688524590163934,0.04991394148020654,0.7851851851851852,0.9359886201991465,0.1046215383762405,0.915421196632548,0.2344812740704364
leave_family_out,random_search,0.1,full_information_always_on,0.08854912620697733,0.8934426229508197,0.060240963855421686,0.7569444444444444,1.0,,,
leave_family_out,random_search,0.1,selective_acquisition,,0.8934426229508197,0.09466437177280551,0.6646341463414634,0.871977240398293,0.1046215383762405,0.4415546560680418,0.07211248348310097
