policy_id,source_dataset,direct_n,direct_mean_ms,direct_std_ms,direct_min_ms,direct_p50_ms,direct_p90_ms,direct_p95_ms,direct_p99_ms,direct_max_ms,component_n,component_mean_ms,component_std_ms,component_min_ms,component_p50_ms,component_p90_ms,component_p95_ms,component_p99_ms,component_max_ms
rule_compact_to_qwen::full_information,jailbreakbench_judge_comparison,120,1563.0027865416666,329.45757441892766,1033.41599,1507.417055,2059.4407696000003,2124.14248855,2164.10536589,2248.632605,120,1562.7406919916668,329.4554652132817,1033.181243,1507.1729195,2059.1866929000003,2123.9044605000004,2163.88148692,2248.387035
rule_compact_to_qwen::full_information,wildguardtest,123,1742.3814665365853,644.0017441240333,1034.846367,1642.684959,2344.9380946,2494.0874467,3028.6935175400004,6833.772228,123,1742.056152910569,643.9797099028286,1034.591564,1642.2877210000001,2344.6098916,2493.7545495,3028.37441624,6833.27675
rule_compact_to_qwen::full_information,xstest_safe_gpt4,120,1261.20372375,152.01045353977005,1045.544421,1229.768001,1435.1339963,1449.9962032,1594.66033288,1597.149634,120,1260.8676723333333,151.99258350554626,1045.229752,1229.4545134999998,1434.7510588,1449.631656,1594.3220306399999,1596.850134
rule_compact_to_qwen::selective_deployable::0.10,jailbreakbench_judge_comparison,120,435.13383959166663,681.2514124538695,21.535738,65.81742,1550.5035698000002,1875.96264625,2116.02976298,2129.706746,120,435.0162898416667,681.165943818926,21.486375,65.748381,1550.2503223000003,1875.68063955,2115.76444373,2129.463837
rule_compact_to_qwen::selective_deployable::0.10,wildguardtest,123,273.2545208455285,634.0088155805004,23.4064,65.799749,1255.7255072,2101.687448,2347.43698606,2699.976069,123,273.13892855284547,633.9290557134834,23.348186000000002,65.706563,1255.4186068000001,2101.3041075,2347.11457664,2699.6806189999998
rule_compact_to_qwen::selective_deployable::0.10,xstest_safe_gpt4,120,113.54875406666666,308.9366691203992,25.701955,28.8325955,41.591986600000006,1121.5532944,1390.95698704,1416.76969,120,113.44534204166666,308.87240397734416,25.627085,28.738369,41.4482884,1121.22938485,1390.6207100500003,1416.415259
rule_compact_to_qwen::selective_deployable::0.25,jailbreakbench_judge_comparison,120,783.3683332083332,802.1831253363456,21.807331,83.1839105,1893.4601668000003,2097.83170145,2150.5552726,2166.54852,120,783.2101930083334,802.0848807865697,21.753641000000002,83.1215825,1893.1440512000001,2097.5476785499995,2150.2650379,2166.286303
rule_compact_to_qwen::selective_deployable::0.25,wildguardtest,123,592.5295886504065,1039.4929055757839,22.800735,76.973867,2099.1806638,2341.6724520000002,3024.69777328,6835.25439,123,592.3777916097561,1039.3896485430141,22.714776999999998,76.906531,2098.8386395999996,2341.3612553,3024.37177522,6834.714707
rule_compact_to_qwen::selective_deployable::0.25,xstest_safe_gpt4,120,379.44325066666664,582.0525056014139,25.380956,40.1393335,1415.7099069,1436.21813275,1579.6002773000002,1632.234265,120,379.28979588333334,581.9388537546488,25.314784,40.059079,1415.3697092,1435.8412054,1579.2842212300002,1631.9642689999998
rule_compact_to_qwen::selective_deployable::0.50,jailbreakbench_judge_comparison,120,1064.8470507333334,753.9620120801386,20.939917,1315.6376125000002,1914.4647524,2085.8249346999996,2156.1611857999997,2156.518854,120,1064.6488123583333,753.87017128515,20.896688,1315.3599800000002,1914.2190576,2085.56698815,2155.91450041,2156.232385
