setup_id,feature_family,policy,budget,repetition,n,acquired_n,actual_acquisition_rate,mean_realized_value_captured,decision_loss_reduction_vs_never,tp,fn,fp,tn,recall,fpr,precision,decision_loss
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.1,,1687,165,0.0978067575577949,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.2,,1687,335,0.1985773562537048,0.008298755186721992,0.008298755186721992,61,230,56,1340,0.20962199312714777,0.04011461318051576,0.5213675213675214,0.16953171310017784
compact_after_rule,frozen_embedding,learned_decision_value,0.2,,1687,335,0.1985773562537048,0.0023710729104919974,0.0023710729104919974,60,231,65,1331,0.20618556701030927,0.04656160458452722,0.48,0.1754593953764078
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.2,,1687,335,0.1985773562537048,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.3,,1687,505,0.2993479549496147,0.006520450503852994,0.006520450503852994,62,229,60,1336,0.21305841924398625,0.04297994269340974,0.5081967213114754,0.17131001778304683
compact_after_rule,frozen_embedding,learned_decision_value,0.3,,1687,505,0.2993479549496147,0.002963841138114997,0.002963841138114997,60,231,64,1332,0.20618556701030927,0.045845272206303724,0.4838709677419355,0.17486662714878481
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.3,,1687,505,0.2993479549496147,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.4,,1687,672,0.3983402489626556,0.005927682276229994,0.005927682276229994,62,229,61,1335,0.21305841924398625,0.04369627507163324,0.5040650406504065,0.17190278601066983
compact_after_rule,frozen_embedding,learned_decision_value,0.4,,1687,672,0.3983402489626556,0.0035566093657379964,0.0035566093657379964,61,230,64,1332,0.20962199312714777,0.045845272206303724,0.488,0.17427385892116182
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.4,,1687,672,0.3983402489626556,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.5,,1687,842,0.4991108476585655,0.005334914048606995,0.005334914048606995,62,229,62,1334,0.21305841924398625,0.044412607449856735,0.5,0.17249555423829283
compact_after_rule,frozen_embedding,learned_decision_value,0.5,,1687,842,0.4991108476585655,0.002963841138114997,0.002963841138114997,60,231,64,1332,0.20618556701030927,0.045845272206303724,0.4838709677419355,0.17486662714878481
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.5,,1687,842,0.4991108476585655,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.6,,1687,1010,0.5986959098992294,0.005334914048606995,0.005334914048606995,62,229,62,1334,0.21305841924398625,0.044412607449856735,0.5,0.17249555423829283
compact_after_rule,frozen_embedding,learned_decision_value,0.6,,1687,1010,0.5986959098992294,0.0035566093657379964,0.0035566093657379964,60,231,63,1333,0.20618556701030927,0.04512893982808023,0.4878048780487805,0.17427385892116182
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.6,,1687,1010,0.5986959098992294,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
compact_after_rule,frozen_embedding,ordinary_uncertainty,0.75,,1687,1262,0.7480735032602253,0.004149377593360996,0.004149377593360996,62,229,64,1332,0.21305841924398625,0.045845272206303724,0.49206349206349204,0.17368109069353882
compact_after_rule,frozen_embedding,learned_decision_value,0.75,,1687,1262,0.7480735032602253,0.002963841138114997,0.002963841138114997,59,232,63,1333,0.2027491408934708,0.04512893982808023,0.48360655737704916,0.17486662714878481
compact_after_rule,frozen_embedding,oracle_realized_value_diagnostic,0.75,,1687,1262,0.7480735032602253,0.011855364552459988,0.011855364552459988,66,225,55,1341,0.2268041237113402,0.03939828080229226,0.5454545454545454,0.16597510373443983
