layer,contrast,seed,stack,policy_kind,target_key,left_risk_gate_pass,left_recall,left_fpr,left_row_fpr_upper95,left_dependency_group_event_upper95,left_outer_acquisition_rate,left_decision_threshold,left_acquisition_threshold,right_risk_gate_pass,right_recall,right_fpr,right_row_fpr_upper95,right_dependency_group_event_upper95,right_outer_acquisition_rate,right_decision_threshold,right_acquisition_threshold,pass_flip,left_pass_right_fail,left_fail_right_pass,delta_recall_left_minus_right,delta_fpr_left_minus_right,delta_row_fpr_upper95_left_minus_right,delta_dependency_group_event_upper95_left_minus_right,delta_outer_acquisition_rate_left_minus_right,delta_decision_threshold_left_minus_right,delta_acquisition_threshold_left_minus_right
full_protocol,label_at_dependency,1729,rule_compact_to_qwen,selective_deployable,0.50,True,0.5142857142857142,0.0285714285714285,0.047981525580851,0.0483921489861662,0.5119047619047619,0.2309631041499236,0.3870768310164192,False,0.7746478873239436,0.0401146131805157,0.0620021937416264,0.0623554328159655,0.5285714285714286,0.1186737516249771,0.3812932653902908,True,True,False,-0.2603621730382294,-0.011543184609087199,-0.0140206681607754,-0.013963283829799299,-0.01666666666666672,0.1122893525249465,0.005783565626128417
full_protocol,label_at_dependency,2718,rule_to_compact,cheap_only,anchor,False,0.1549295774647887,0.0542857142857142,0.0786402386372628,0.0793112366935812,0.0,0.3539706002868248,,False,0.2535211267605634,0.0744985673352435,0.1018668488799684,0.1024451811243625,0.0,0.3264976025256917,,False,False,False,-0.09859154929577468,-0.0202128530495293,-0.0232266102427056,-0.023133944430781303,0.0,0.0274729977611331,
full_protocol,label_at_dependency,2718,rule_to_compact,full_information,anchor,False,0.1690140845070422,0.06,0.0852545937243758,0.0859816093644705,1.0,0.348911813188008,,False,0.2535211267605634,0.0659025787965616,0.0920773606800653,0.0926005340775551,1.0,0.3318252113842089,,False,False,False,-0.08450704225352118,-0.0059025787965616,-0.006822766955689508,-0.0066189247130846035,0.0,0.017086601803799117,
full_protocol,label_at_dependency,2718,rule_to_compact,selective_deployable,0.10,False,0.1549295774647887,0.0542857142857142,0.0786402386372628,0.0793112366935812,0.0902612826603325,0.348911813188008,0.1865818520832044,False,0.2535211267605634,0.0773638968481375,0.1051101680318333,0.1057067587005546,0.1214285714285714,0.3082027592687358,0.2066650970999581,False,False,False,-0.09859154929577468,-0.023078182562423305,-0.026469929394570504,-0.0263955220069734,-0.031167288768238904,0.04070905391927221,-0.02008324501675368
full_protocol,label_at_dependency,2718,rule_to_compact,selective_deployable,0.25,False,0.1690140845070422,0.0571428571428571,0.0819542098114502,0.0826532807745683,0.2731591448931116,0.348911813188008,0.3148139175089683,False,0.2535211267605634,0.0859598853868194,0.1147872227706394,0.1154382442262641,0.3309523809523809,0.3082027592687358,0.3355379311324166,False,False,False,-0.08450704225352118,-0.028817028243962296,-0.032833012959189195,-0.032784963451695806,-0.05779323605926928,0.04070905391927221,-0.02072401362344828
full_protocol,label_at_dependency,2718,rule_to_compact,selective_deployable,0.50,False,0.1690140845070422,0.06,0.0852545937243758,0.0859816093644705,1.0,0.348911813188008,0.3796161204198131,False,0.2535211267605634,0.0659025787965616,0.0920773606800653,0.0926005340775551,1.0,0.3318252113842089,0.3852053851246249,False,False,False,-0.08450704225352118,-0.0059025787965616,-0.006822766955689508,-0.0066189247130846035,0.0,0.017086601803799117,-0.005589264704811803
full_protocol,label_at_dependency,2718,compact_to_qwen,cheap_only,anchor,False,0.1971830985915492,0.0457142857142857,0.0686063179553179,0.0691922355673019,0.0,0.1701190061193156,,False,0.028169014084507,0.0372492836676217,0.0585707962924032,0.0589045985512516,0.0,0.1695534138048202,,False,False,False,0.1690140845070422,0.008465002046663998,0.010035521662914694,0.010287637016050302,0.0,0.0005655923144954056,
full_protocol,label_at_dependency,2718,compact_to_qwen,full_information,anchor,False,0.8450704225352113,0.0657142857142857,0.0918179839251865,0.0926005340775551,1.0,0.2653979133733014,,False,0.8732394366197183,0.0573065902578796,0.082185916161531,0.0826532807745683,1.0,0.2762709570334625,,False,False,False,-0.028169014084507005,0.0084076954564061,0.009632067763655508,0.009947253302986805,0.0,-0.010873043660161119,
full_protocol,label_at_dependency,2718,compact_to_qwen,selective_deployable,0.10,False,0.3098591549295774,0.0485714285714285,0.0719674829531914,0.0725819148103667,0.0973871733966745,0.1688000392661567,0.3307570962077484,False,0.2253521126760563,0.0802292263610315,0.1083443889968877,0.1089591790172503,0.0857142857142857,0.1645046771739669,0.3346320112648075,False,False,False,0.0845070422535211,-0.031657797789602996,-0.0363769060436963,-0.0363772642068836,0.011672887682388805,0.004295362092189781,-0.003874915057059114
full_protocol,label_at_dependency,2718,compact_to_qwen,selective_deployable,0.25,False,0.4929577464788732,0.08,0.1080395872808542,0.1089591790172503,0.2470308788598574,0.1682219203944449,0.3317128779797529,False,0.3661971830985915,0.0429799426934097,0.0654114376898755,0.0657839778694173,0.2738095238095238,0.1638653913316793,0.3361211525136454,False,False,False,0.1267605633802817,0.037020057306590304,0.04262814959097869,0.043175201147833006,-0.02677864494966639,0.004356529062765596,-0.004408274533892476
full_protocol,label_at_dependency,2718,compact_to_qwen,selective_deployable,0.50,False,0.676056338028169,0.0657142857142857,0.0918179839251865,0.0926005340775551,0.5558194774346793,0.265414314971004,0.3320640326779116,False,0.647887323943662,0.0487106017191977,0.0721711346734761,0.0725819148103667,0.5166666666666667,0.2762709570334625,0.3364722002238118,False,False,False,0.028169014084507005,0.017003683995087997,0.019646849251710397,0.020018619267188398,0.03915281076801258,-0.01085664206245851,-0.004408167545900177
full_protocol,label_at_dependency,2718,rule_compact_to_qwen,cheap_only,anchor,False,0.1690140845070422,0.06,0.0852545937243758,0.0859816093644705,0.0,0.348911813188008,,False,0.2535211267605634,0.0659025787965616,0.0920773606800653,0.0926005340775551,0.0,0.3318252113842089,,False,False,False,-0.08450704225352118,-0.0059025787965616,-0.006822766955689508,-0.0066189247130846035,0.0,0.017086601803799117,
full_protocol,label_at_dependency,2718,rule_compact_to_qwen,full_information,anchor,False,0.8591549295774648,0.0657142857142857,0.0918179839251865,0.0926005340775551,1.0,0.2341432690918176,,False,0.8028169014084507,0.0515759312320916,0.0755247509283926,0.0759544884475703,1.0,0.2708913469484481,,False,False,False,0.05633802816901401,0.014138354482194096,0.016293232996793902,0.0166460456299848,0.0,-0.03674807785663048,
full_protocol,label_at_dependency,2718,rule_compact_to_qwen,selective_deployable,0.10,False,0.3098591549295774,0.0514285714285714,0.075311700164249,0.0759544884475703,0.0950118764845605,0.2514210922410698,0.1879346758299932,False,0.2957746478873239,0.0401146131805157,0.0620021937416264,0.0623554328159655,0.1142857142857142,0.2553017026953611,0.1929040032735092,False,False,False,0.014084507042253502,0.0113139582480557,0.013309506422622595,0.013599055631604802,-0.0192738378011537,-0.0038806104542913333,-0.004969327443515997
