layer,factor_label_condition,factor_grouping_condition,measurement_label_condition,measurement_grouping_condition,seed,stack,policy_kind,target_key,target_rate,policy_source,outer_rows_source,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,row_fpr_upper95,negative_dependency_groups,failed_dependency_groups,dependency_group_event_rate,dependency_group_event_upper95,risk_gate_pass,train_n,selection_n,outer_n,training_label_column,training_group_column,acquisition_threshold,decision_threshold,selection_acquisition_rate,outer_acquisition_rate,selection_recall,selection_fpr
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,2718,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,2,69,13,336,0.028169014084507043,0.03724928366762178,0.13333333333333333,0.05857079629240329,347,13,0.037463976945244955,0.05890459855125166,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,2718,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,2,69,13,336,0.028169014084507043,0.03724928366762178,0.13333333333333333,0.05857079629240329,349,13,0.03724928366762178,0.05857079629240329,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,2718,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,72,348,2,70,13,335,0.027777777777777776,0.03735632183908046,0.13333333333333333,0.05873722324632595,346,13,0.03757225433526012,0.059072930335105876,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,2718,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,72,348,2,70,13,335,0.027777777777777776,0.03735632183908046,0.13333333333333333,0.05873722324632595,348,13,0.03735632183908046,0.05873722324632595,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,2718,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,20,329,0.8732394366197183,0.05730659025787966,0.7560975609756098,0.08218591616153102,347,20,0.05763688760806916,0.08265328077456838,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,2718,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,20,329,0.8732394366197183,0.05730659025787966,0.7560975609756098,0.08218591616153102,349,20,0.05730659025787966,0.08218591616153102,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,2718,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,72,348,63,9,19,329,0.875,0.05459770114942529,0.7682926829268293,0.07908630229698733,346,19,0.05491329479768786,0.07953745393199206,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,2718,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,72,348,63,9,19,329,0.875,0.05459770114942529,0.7682926829268293,0.07908630229698733,348,19,0.05459770114942529,0.07908630229698733,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,2718,compact_to_qwen,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,28,321,0.22535211267605634,0.08022922636103152,0.36363636363636365,0.10834438899688771,347,28,0.08069164265129683,0.10895917901725036,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,2718,compact_to_qwen,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,16,55,28,321,0.22535211267605634,0.08022922636103152,0.36363636363636365,0.10834438899688771,349,28,0.08022922636103152,0.10834438899688771,False,,,,,,,,,,,
