family,policy_id,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,rule_call_rate,compact_call_rate,qwen_call_rate,policy_details_json
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.04305_q0.5,421,70,351,42,28,53,298,0.6,0.150997150997151,0.4421052631578947,0.8076009501187649,0.22565320665083136,306.9521252470309,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.1995249406175772,"{""compact_high_intercept_threshold"": 0.04304801925900388, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.04305_q1,421,70,351,42,28,50,301,0.6,0.14245014245014245,0.45652173913043476,0.8147268408551069,0.21852731591448932,306.9521252470309,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.1995249406175772,"{""compact_high_intercept_threshold"": 0.04304801925900388, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.4674_q0.5,421,70,351,42,28,47,304,0.6,0.1339031339031339,0.47191011235955055,0.8218527315914489,0.21140142517814728,342.71228403444184,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.22565320665083136,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.4674_q1,421,70,351,42,28,44,307,0.6,0.12535612535612536,0.4883720930232558,0.828978622327791,0.2042755344418052,342.71228403444184,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.22565320665083136,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.6219_q0.5,421,70,351,42,28,47,304,0.6,0.1339031339031339,0.47191011235955055,0.8218527315914489,0.21140142517814728,342.71228403444184,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.22565320665083136,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.3812_cl0.009102_ch0.6219_q1,421,70,351,42,28,44,307,0.6,0.12535612535612536,0.4883720930232558,0.828978622327791,0.2042755344418052,342.71228403444184,39.121621000000005,1407.7604254999999,1.0,0.8622327790973872,0.22565320665083136,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.009101854637265205, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.38120501563149356, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.5934_cl0.005246_ch0.009884_q0.5,421,70,351,65,5,99,252,0.9285714285714286,0.28205128205128205,0.39634146341463417,0.7529691211401425,0.38954869358669836,991.7268011615201,1407.7604254999999,1407.7604254999999,1.0,0.9168646080760094,0.6983372921615202,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.005245877604465932, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.5934303402594009, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.5934_cl0.005246_ch0.009884_q1,421,70,351,63,7,95,256,0.9,0.2706552706552707,0.3987341772151899,0.7577197149643705,0.3752969121140142,991.7268011615201,1407.7604254999999,1407.7604254999999,1.0,0.9168646080760094,0.6983372921615202,"{""compact_high_intercept_threshold"": 0.009883562399772927, ""compact_low_allow_threshold"": 0.005245877604465932, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.5934303402594009, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.5934_cl0.005246_ch0.01579_q0.5,421,70,351,65,5,64,287,0.9285714285714286,0.18233618233618235,0.5038759689922481,0.836104513064133,0.30641330166270786,1160.7748245201904,1407.7604254999999,1407.7604254999999,1.0,0.9168646080760094,0.8218527315914489,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.005245877604465932, ""qwen_threshold"": 0.5, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.5934303402594009, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.5934_cl0.005246_ch0.01579_q1,421,70,351,63,7,57,294,0.9,0.1623931623931624,0.525,0.8479809976247031,0.2850356294536817,1160.7748245201904,1407.7604254999999,1407.7604254999999,1.0,0.9168646080760094,0.8218527315914489,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.005245877604465932, ""qwen_threshold"": 1.0, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; Qwen only for unresolved examples"", ""rule_high_intercept_threshold"": 0.5934303402594009, ""rule_low_allow_threshold"": 0.0}"
