family,policy_id,selection_split,n,positives,negatives,tp,fp,tn,fn,recall,fpr,precision,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,normalized_avg_cost_vs_rule,normalized_median_cost_vs_rule,policy_details_json
cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.006242_ch0.4674_j0.52,policy_selection,421,72,349,41,5,344,31,0.5694444444444444,0.014326647564469915,0.8913043478260869,0.10926365795724466,183.53931275879808,152.31987806247105,489.1475792499733,188.98218876839388,156.83693872718163,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.006241543400392402, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.006242_ch0.6219_j0.52,policy_selection,421,72,349,41,5,344,31,0.5694444444444444,0.014326647564469915,0.8913043478260869,0.10926365795724466,183.53931275879808,152.31987806247105,489.1475792499733,188.98218876839388,156.83693872718163,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.006241543400392402, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.005781_ch0.4674_j0.52,policy_selection,421,72,349,44,6,343,28,0.6111111111111112,0.017191977077363897,0.88,0.1187648456057007,196.39758587518693,157.3464122502486,489.1475792499733,202.22177521334464,162.01253527076096,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.0057813970110146325, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0_rh0.9219_cl0.005781_ch0.6219_j0.52,policy_selection,421,72,349,44,6,343,28,0.6111111111111112,0.017191977077363897,0.88,0.1187648456057007,196.39758587518693,157.3464122502486,489.1475792499733,202.22177521334464,162.01253527076096,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.0057813970110146325, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.0}"
cost_tuned_cascade,cascade_rl0.3148_rh0.9219_cl0.007173_ch0.01579_j0.2844,policy_selection,421,72,349,21,7,342,51,0.2916666666666667,0.02005730659025788,0.75,0.0665083135391924,28.428659999257448,1.0385990000258971,211.38417400015896,29.27171465152293,1.0693987534730516,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.0071728967886883765, ""judge_threshold"": 0.28440535068512, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.3148451323439172}"
cost_tuned_cascade,cascade_rl0.3148_rh0.9219_cl0.006242_ch0.01579_j0.2844,policy_selection,421,72,349,22,7,342,50,0.3055555555555556,0.02005730659025788,0.7586206896551724,0.0688836104513064,34.73123871421998,1.0385990000258971,270.24009631284684,35.76119694572758,1.0693987534730516,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.006241543400392402, ""judge_threshold"": 0.28440535068512, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.3148451323439172}"
cost_tuned_cascade,cascade_rl0.3148_rh0.9219_cl0.006242_ch0.01579_j0.1949,policy_selection,421,72,349,23,9,340,49,0.3194444444444444,0.025787965616045846,0.71875,0.07600950118764846,34.73123871421998,1.0385990000258971,270.24009631284684,35.76119694572758,1.0693987534730516,"{""compact_high_intercept_threshold"": 0.015788078011246414, ""compact_low_allow_threshold"": 0.006241543400392402, ""judge_threshold"": 0.19489912837743753, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.9218579568600582, ""rule_low_allow_threshold"": 0.3148451323439172}"
cheapest_monitor_only,rule_only_t_0.7498301,policy_selection,421,72,349,10,10,339,62,0.1388888888888889,0.02865329512893983,0.5,0.047505938242280284,1.2853356223261831,0.9152369999583243,3.2601750000367247,1.3234523740884168,0.942378441403701,"{""monitor"": ""rule_filter_v1"", ""threshold"": 0.7498301045120662}"
cost_tuned_cascade,cascade_rl0.3148_rh0.7498_cl0.009102_ch0.4674_j0.52,policy_selection,421,72,349,15,10,339,57,0.20833333333333334,0.02865329512893983,0.6,0.05938242280285035,16.062568499407718,0.9962210000367122,9.210157249981421,16.538905516386794,1.0257640298097461,"{""compact_high_intercept_threshold"": 0.46738710564095515, ""compact_low_allow_threshold"": 0.009101854637265205, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.7498301045120662, ""rule_low_allow_threshold"": 0.3148451323439172}"
cost_tuned_cascade,cascade_rl0.3148_rh0.7498_cl0.009102_ch0.6219_j0.52,policy_selection,421,72,349,15,10,339,57,0.20833333333333334,0.02865329512893983,0.6,0.05938242280285035,16.062568499407718,0.9962210000367122,9.210157249981421,16.538905516386794,1.0257640298097461,"{""compact_high_intercept_threshold"": 0.6218601455306608, ""compact_low_allow_threshold"": 0.009101854637265205, ""judge_threshold"": 0.5200446903705598, ""route"": ""rule allow/intercept bands; compact allow/intercept bands; judge only for unresolved examples"", ""rule_high_intercept_threshold"": 0.7498301045120662, ""rule_low_allow_threshold"": 0.3148451323439172}"
