requested_budget,policy,seed_n,acquisition_rate_mean,acquisition_rate_se,acquisition_rate_ci95_lower,acquisition_rate_ci95_upper,decision_loss_mean,decision_loss_se,decision_loss_ci95_lower,decision_loss_ci95_upper,accuracy_mean,accuracy_se,accuracy_ci95_lower,accuracy_ci95_upper,total_risk_with_cost_mean,total_risk_with_cost_se,total_risk_with_cost_ci95_lower,total_risk_with_cost_ci95_upper,fpr_mean,fpr_se,fpr_ci95_lower,fpr_ci95_upper,recall_mean,recall_se,recall_ci95_lower,recall_ci95_upper,fnr_mean,fnr_se,fnr_ci95_lower,fnr_ci95_upper,decision_loss_reduction_vs_never_mean,decision_loss_reduction_vs_never_se,decision_loss_reduction_vs_never_ci95_lower,decision_loss_reduction_vs_never_ci95_upper,context_a_acquisition_rate_mean,context_a_acquisition_rate_se,context_a_acquisition_rate_ci95_lower,context_a_acquisition_rate_ci95_upper,context_b_acquisition_rate_mean,context_b_acquisition_rate_se,context_b_acquisition_rate_ci95_lower,context_b_acquisition_rate_ci95_upper,oracle_value_captured_per_example_mean,oracle_value_captured_per_example_se,oracle_value_captured_per_example_ci95_lower,oracle_value_captured_per_example_ci95_upper
0.3,learned_value,30,0.30000000000000004,1.0308162000485891e-17,0.30000000000000004,0.30000000000000004,0.1260138888888889,0.0006423248022253638,0.12470018716350056,0.12732759061427723,0.8739861111111114,0.000642324802225365,0.872672409385723,0.8752998128364997,0.1320138888888889,0.0006423248022253642,0.13070018716350057,0.13332759061427724,0.12669154029276408,0.0009531318359493141,0.12474216680902019,0.128640913776508,0.8746505676589524,0.000826366561731825,0.8729604582716313,0.8763406770462736,0.12534943234104753,0.000826366561731825,0.12365932295372632,0.12703954172836876,0.08387222222222222,0.00043254668749945614,0.08298756491534202,0.08475687952910242,0.6005367394712837,0.0011741067984316885,0.5981354214441017,0.6029380574984657,0.0,0.0,0.0,0.0,0.08521257772097658,0.00016848350762569368,0.08486799025697002,0.08555716518498314
0.3,oracle_decision_value,30,0.30000000000000004,1.0308162000485891e-17,0.30000000000000004,0.30000000000000004,0.12493333333333334,0.0006253657933393285,0.12365431667561991,0.12621234999104677,0.8750666666666668,0.0006253657933393271,0.8737876500089533,0.8763456833243802,0.13093333333333335,0.0006253657933393289,0.1296543166756199,0.13221234999104678,0.12526771142427534,0.0008649338234285296,0.12349872313011614,0.12703669971843454,0.8753933014517735,0.0008087904336576187,0.8737391392825836,0.8770474636209634,0.12460669854822616,0.0008087904336576187,0.12295253637903623,0.12626086071741607,0.08495277777777778,0.0004402462762338384,0.0840523730437858,0.08585318251176977,0.6005367394712837,0.0011741067984316885,0.5981354214441017,0.6029380574984657,0.0,0.0,0.0,0.0,0.08622996840741029,0.00013288095052286364,0.08595819634852617,0.08650174046629441
0.3,random,30,0.30000000000000004,1.0308162000485891e-17,0.30000000000000004,0.30000000000000004,0.18063055555555554,0.0008076668395521872,0.17897869139433578,0.1822824197167753,0.8193694444444445,0.0008076668395521862,0.8177175802832247,0.8210213086056642,0.18663055555555555,0.0008076668395521872,0.1849786913943358,0.1882824197167753,0.1818358116039895,0.0009300394346241381,0.1799336673839439,0.18373795582403513,0.820569065032456,0.0011831438343543569,0.8181492641915279,0.822988865873384,0.17943093496754392,0.0011831438343543567,0.17701113412661584,0.181850735808472,0.029255555555555552,0.0002833145512518608,0.02867611223728772,0.029834998873823383,0.30150671987453254,0.0006107166816008509,0.30025766401437753,0.30275577573468754,0.2984917957876249,0.0006103731101696652,0.2972434426099452,0.29974014896530465,0.02957009140137166,0.00014418544017878686,0.029275199065154054,0.02986498373758927
0.3,uncertainty,30,0.30000000000000004,1.0308162000485891e-17,0.30000000000000004,0.30000000000000004,0.15456944444444443,0.0007586672808267271,0.15301779563318138,0.15612109325570747,0.8454305555555556,0.0007586672808267262,0.8438789067442926,0.8469822043668186,0.16056944444444443,0.0007586672808267271,0.15901779563318139,0.16212109325570748,0.15517864886309837,0.0009363137058632534,0.1532636723175317,0.15709362540866503,0.846032491519011,0.0009881809155435125,0.8440114346187516,0.8480535484192705,0.15396750848098897,0.0009881809155435127,0.15194645158072956,0.1559885653812484,0.05531666666666667,0.00032035062208898087,0.054661476078494635,0.0559718572548387,0.2992629456900164,0.0007315717443164005,0.2977667134731938,0.300759177906839,0.30074892711844725,0.0007328163606901772,0.2992501493753239,0.3022477048615706,0.05627156364448731,0.0001555766131603258,0.055953373743629194,0.05658975354534542
0.4,learned_value,30,0.40000000000000013,2.0616324000971782e-17,0.4000000000000001,0.4000000000000002,0.116975,0.0005991313156006228,0.11574963887380364,0.11820036112619635,0.8830249999999998,0.0005991313156006251,0.8817996388738035,0.8842503611261961,0.124975,0.000599131315600623,0.12374963887380365,0.12620036112619637,0.1172300967111766,0.0007894621438149506,0.11561546533330463,0.11884472808904856,0.8832740361106439,0.0007745426085792935,0.8816899186084828,0.8848581536128051,0.11672596388935608,0.0007745426085792935,0.11514184638719492,0.11831008139151723,0.09291111111111111,0.0004595887253938607,0.0919711466267456,0.09385107559547662,0.8000283604225302,0.0015429549628907808,0.7968726631959503,0.8031840576491102,0.0006796370113186153,0.00034280145093581706,-2.147067750141716e-05,0.0013807447001386477,0.09448972333780707,0.00017929771715111782,0.09412301833192288,0.09485642834369126
0.4,oracle_decision_value,30,0.40000000000000013,2.0616324000971782e-17,0.4000000000000001,0.4000000000000002,0.11625833333333335,0.0005807599229652519,0.11507054592392212,0.11744612074274459,0.8837416666666668,0.0005807599229652523,0.8825538792572555,0.884929454076078,0.12425833333333333,0.0005807599229652524,0.1230705459239221,0.12544612074274458,0.11650286931863822,0.0007911025560291809,0.1148848829210804,0.11812085571619604,0.8839791904554455,0.0008096926631370428,0.8823231830197802,0.8856351978911108,0.11602080954455442,0.0008096926631370428,0.11436480210888916,0.11767681698021967,0.09362777777777777,0.0004677794159107116,0.09267106145037766,0.09458449410517787,0.8007156526283783,0.0015654757312422503,0.7975138952588022,0.8039174099979544,0.0,0.0,0.0,0.0,0.09517583169533766,0.00018721478195827238,0.09479293447383119,0.09555872891684414
0.4,random,30,0.40000000000000013,2.0616324000971782e-17,0.4000000000000001,0.4000000000000002,0.17098333333333338,0.0007790192609557065,0.16939006004903445,0.1725766066176323,0.8290166666666667,0.0007790192609557086,0.8274233933823678,0.8306099399509657,0.17898333333333338,0.0007790192609557065,0.17739006004903446,0.1805766066176323,0.1720859000673218,0.000856095478267807,0.1703349882186727,0.1738368119159709,0.8301173064186679,0.0011473968199167122,0.8277706164312855,0.8324639964060503,0.16988269358133207,0.001147396819916712,0.1675360035939496,0.17222938356871453,0.03890277777777777,0.0002918946381464201,0.038305786211461114,0.03949976934409443,0.402090682851577,0.0007197708578822249,0.400618586157493,0.403562779545661,0.3979077752282287,0.0007181449718029795,0.39643900384454867,0.3993765466119087,0.03943356128217124,0.00016323682314184855,0.03909970449279396,0.039767418071548516
0.4,uncertainty,30,0.40000000000000013,2.0616324000971782e-17,0.4000000000000001,0.4000000000000002,0.14226944444444445,0.0007023346777529124,0.14083300874280646,0.14370588014608243,0.8577305555555556,0.0007023346777529135,0.8562941198539176,0.8591669912571935,0.15026944444444446,0.0007023346777529124,0.14883300874280647,0.15170588014608244,0.1425606886203362,0.0008971770586290508,0.14072575550578661,0.14439562173488577,0.858013685984466,0.0009401693082882114,0.8560908238465316,0.8599365481224005,0.1419863140155339,0.0009401693082882114,0.14006345187759947,0.14390917615346835,0.06761666666666666,0.0003719833968197762,0.06685587519710964,0.06837745813622367,0.3989452634789546,0.0007451090070820236,0.3974213444510504,0.4004691825068588,0.40107430733694205,0.0007433900621655577,0.39955390394613416,0.40259471072774994,0.06879008931400495,0.00015885842151214266,0.0684651873614259,0.06911499126658399
0.5,learned_value,30,0.5,0.0,0.5,0.5,0.11379444444444446,0.0005822613759465027,0.1126035862188897,0.11498530266999922,0.8862055555555555,0.0005822613759465016,0.8850146973300007,0.8873964137811102,0.12379444444444444,0.0005822613759465029,0.12260358621888968,0.1249853026699992,0.11405078417913754,0.0008023631056309875,0.11240976737174739,0.11569180098652769,0.8864524515556494,0.0008391149390968443,0.8847362688090522,0.8881686343022467,0.11354754844435071,0.0008391149390968444,0.11183136569775347,0.11526373119094795,0.09609166666666667,0.0004591789482472061,0.09515254027066816,0.09703079306266518,0.9765253990104428,0.0024822439201672656,0.971448640165913,0.9816021578549725,0.024269273867384353,0.0021299308355592324,0.019913076186806135,0.02862547154796257,0.0978064857374354,0.0002207740511163169,0.0973549521038786,0.09825801937099221
0.5,oracle_decision_value,30,0.5,0.0,0.5,0.5,0.11362777777777779,0.0005834801858574186,0.1124344268060651,0.11482112874949048,0.8863722222222221,0.0005834801858574178,0.8851788712505094,0.8875655731939348,0.12362777777777777,0.0005834801858574191,0.12243442680606507,0.12482112874949046,0.1138793236285897,0.0008070869863126673,0.11222864540040348,0.11553000185677592,0.8866139918387439,0.0008508975151490781,0.8848737110183439,0.8883542726591439,0.11338600816125612,0.000850897515149078,0.11164572734085616,0.11512628898165607,0.09625833333333332,0.00045553131652176974,0.09532666718186326,0.09718999948480338,0.9959404715013158,0.0009994238321886844,0.9938964202546696,0.997984522747962,0.004825973869025164,0.001152638180931449,0.002468564094730247,0.007183383643320081,0.09797697158290856,0.0002297142293022343,0.09750715323191997,0.09844678993389716
