policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
random,0.1,1200,0.1,0.20175,0.79825,0.20375000000000001,0.20330771800868694,0.7998004655803126,0.2001995344196874,0.010583333333333333,0.10126790712991932,0.09870086046903999,0.01001535535617818,1
uncertainty,0.1,1200,0.1,0.19175,0.80825,0.19375,0.19061142666221184,0.8071167276355171,0.19288327236448288,0.020583333333333342,0.09599868269389099,0.10409988189640627,0.021553144243739785,1
oracle_decision_value,0.1,1200,0.1,0.1725,0.8275,0.1745,0.17139993317741398,0.8264050548719654,0.17359494512803464,0.03983333333333336,0.19759591635106208,0.0,0.040775956284677346,1
learned_value,0.1,1200,0.1,0.17325,0.82675,0.17525,0.17173404610758436,0.8252411040904556,0.1747588959095444,0.03908333333333336,0.19759591635106208,0.0,0.03923768321658823,1
random,0.2,2400,0.2,0.19133333333333333,0.8086666666666666,0.19533333333333333,0.194119612429001,0.8114399733954107,0.18856002660458926,0.02100000000000002,0.20121850815083156,0.19875147629492154,0.019963152755126123,1
uncertainty,0.2,2400,0.2,0.17308333333333334,0.8269166666666666,0.17708333333333334,0.17173404610758436,0.8255736614566013,0.17442633854339873,0.03925000000000001,0.1918327021241561,0.20836848321241774,0.039774343727938276,1
oracle_decision_value,0.2,2400,0.2,0.14441666666666667,0.8555833333333334,0.14841666666666667,0.14366855997327097,0.8548387096774194,0.14516129032258063,0.06791666666666668,0.39519183270212416,0.0,0.06892399214950143,1
learned_value,0.2,2400,0.2,0.14541666666666667,0.8545833333333334,0.14941666666666667,0.14851319746074174,0.8576654472896574,0.14233455271034257,0.06691666666666668,0.39519183270212416,0.0,0.06750443606697104,1
random,0.25,3000,0.25,0.18625,0.81375,0.19125,0.18910791847644504,0.8165946125706685,0.18340538742933155,0.026083333333333347,0.2501234974477194,0.2498734604352961,0.024624457037200224,1
uncertainty,0.25,3000,0.25,0.16658333333333333,0.8334166666666667,0.17158333333333334,0.165552956899432,0.8323910874625873,0.16760891253741272,0.04575000000000001,0.24287831384818048,0.25729711489792473,0.048302148635519626,1
oracle_decision_value,0.25,3000,0.25,0.134,0.866,0.139,0.13331105913798863,0.8653142667110076,0.13468573328899236,0.07833333333333334,0.4939897908776552,0.0,0.07889760214774626,1
learned_value,0.25,3000,0.25,0.1355,0.8645,0.1405,0.13715335783494823,0.8661456601263718,0.13385433987362816,0.07683333333333334,0.4939897908776552,0.0,0.0772611587492146,1
random,0.3,3600,0.3,0.18066666666666667,0.8193333333333334,0.18666666666666668,0.18292682926829268,0.8215829730628533,0.17841702693714667,0.031666666666666676,0.30034579285361435,0.2996456892188291,0.02988020865471512,1
uncertainty,0.3,3600,0.3,0.15975,0.8402499999999999,0.16575,0.15836952890076847,0.8388759561024277,0.1611240438975723,0.05258333333333334,0.2921126296723201,0.3080816601990889,0.05573176383069903,1
oracle_decision_value,0.3,3600,0.3,0.12633333333333333,0.8736666666666667,0.13233333333333333,0.12646174406949548,0.8737944795477219,0.12620552045227806,0.08600000000000002,0.5927877490531862,0.0,0.08647035350273355,1
learned_value,0.3,3600,0.3,0.12733333333333333,0.8726666666666667,0.13333333333333333,0.12930170397594387,0.8746258729630861,0.12537412703691386,0.08500000000000002,0.5927877490531862,0.0,0.08541231159124166,1
random,0.4,4800,0.4,0.17116666666666666,0.8288333333333333,0.17916666666666667,0.17223521550283996,0.8298969072164949,0.1701030927835051,0.041166666666666685,0.4016136999835337,0.3983465496878691,0.039990218164746356,1
uncertainty,0.4,4800,0.4,0.14508333333333334,0.8549166666666667,0.15308333333333335,0.14467089876378217,0.8545061523112737,0.1454938476887263,0.06725,0.3914045776387288,0.40880715370339127,0.06849146524412279,1
oracle_decision_value,0.4,4800,0.4,0.118,0.882,0.126,0.11760775141997995,0.881609577652145,0.11839042234785502,0.09433333333333335,0.7903836654042483,0.0,0.09575320068978155,1
learned_value,0.4,4800,0.4,0.11908333333333333,0.8809166666666667,0.12708333333333333,0.11744069495489476,0.8792816760891253,0.12071832391087467,0.09325000000000001,0.7903836654042483,0.0,0.09537022739635562,1
random,0.5,6000,0.5,0.16141666666666668,0.8385833333333333,0.1714166666666667,0.16137654527230202,0.838543398736282,0.16145660126371797,0.050916666666666666,0.5020582907953236,0.49789100725493507,0.04997233556468761,1
uncertainty,0.5,6000,0.5,0.13425,0.86575,0.14425000000000002,0.13364517206815904,0.8651479880279348,0.1348520119720652,0.07808333333333334,0.48855590317800096,0.5117259996625612,0.07841396861479076,1
oracle_decision_value,0.5,6000,0.5,0.11458333333333333,0.8854166666666666,0.12458333333333332,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,0.9879795817553104,0.0,0.09879404349276229,1
learned_value,0.5,6000,0.5,0.11475,0.88525,0.12475,0.11460073504844638,0.8851014299966744,0.1148985700033256,0.09758333333333334,0.9706899390745924,0.01771553905854564,0.09857754846173704,1
random,0.6,7200,0.6,0.15241666666666667,0.8475833333333334,0.16441666666666668,0.1523554961577013,0.8475224476222148,0.15247755237778515,0.059916666666666674,0.6020088918162358,0.5979416230808166,0.059685662708686776,1
uncertainty,0.6,7200,0.6,0.12641666666666668,0.8735833333333334,0.1384166666666667,0.12646174406949548,0.8736282008646492,0.1263717991353508,0.08591666666666667,0.5896591470442945,0.6105955795512064,0.0862636225811547,1
oracle_decision_value,0.6,7200,0.6,0.11458333333333333,0.8854166666666666,0.12658333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,0.1901467858950565,0.0988152613187835,1
learned_value,0.6,7200,0.6,0.11458333333333333,0.8854166666666666,0.12658333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,0.1901467858950565,0.0988152613187835,1
random,0.75,9000,0.75,0.13766666666666666,0.8623333333333334,0.15266666666666667,0.13732041430003342,0.8619886930495511,0.13801130695044894,0.07466666666666669,0.7562983698336901,0.7435464822001012,0.07490580864436223,1
uncertainty,0.75,9000,0.75,0.12008333333333333,0.8799166666666667,0.13508333333333333,0.12028065486134314,0.8801130695044895,0.11988693049551047,0.09225000000000001,0.7441132883253746,0.7560317192508857,0.09422028137324977,1
oracle_decision_value,0.75,9000,0.75,0.11458333333333333,0.8854166666666666,0.12958333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,0.4938417411844103,0.0988152613187835,1
learned_value,0.75,9000,0.75,0.11458333333333333,0.8854166666666666,0.12958333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,0.4938417411844103,0.0988152613187835,1
random,1.0,12000,1.0,0.11458333333333333,0.8854166666666666,0.13458333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,1.0,0.0988152613187835,1
uncertainty,1.0,12000,1.0,0.11458333333333333,0.8854166666666666,0.13458333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,1.0,0.0988152613187835,1
oracle_decision_value,1.0,12000,1.0,0.11458333333333333,0.8854166666666666,0.13458333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,1.0,0.0988152613187835,1
learned_value,1.0,12000,1.0,0.11458333333333333,0.8854166666666666,0.13458333333333333,0.11409956565319078,0.8849351513136016,0.11506484868639844,0.09775000000000002,1.0,1.0,0.0988152613187835,1
random,0.0,0,0.0,0.20283333333333334,0.7971666666666667,0.20283333333333334,0.2037439411666388,0.7980721289679242,0.20192787103207577,0.0,0.0,0.0,0.0,2
uncertainty,0.0,0,0.0,0.20283333333333334,0.7971666666666667,0.20283333333333334,0.2037439411666388,0.7980721289679242,0.20192787103207577,0.0,0.0,0.0,0.0,2
oracle_decision_value,0.0,0,0.0,0.20283333333333334,0.7971666666666667,0.20283333333333334,0.2037439411666388,0.7980721289679242,0.20192787103207577,0.0,0.0,0.0,0.0,2
learned_value,0.0,0,0.0,0.20283333333333334,0.7971666666666667,0.20283333333333334,0.2037439411666388,0.7980721289679242,0.20192787103207577,0.0,0.0,0.0,0.0,2
random,0.05,600,0.05,0.199,0.8009999999999999,0.2,0.1990640147083403,0.8010636529832142,0.19893634701678575,0.0038333333333333275,0.049019607843137254,0.05098629220996322,0.004869064772833263,2
uncertainty,0.05,600,0.05,0.19116666666666668,0.8088333333333333,0.19216666666666668,0.19170984455958548,0.8093734419145754,0.1906265580854246,0.011666666666666659,0.0518444666001994,0.048144433299899696,0.011941785554267056,2
oracle_decision_value,0.05,600,0.05,0.18183333333333335,0.8181666666666667,0.18283333333333335,0.1816814307203744,0.8180156224031909,0.18198437759680908,0.02099999999999999,0.09970089730807577,0.0,0.02212412770536997,2
learned_value,0.05,600,0.05,0.18333333333333332,0.8166666666666667,0.18433333333333332,0.18619421694801938,0.8195113844108359,0.18048861558916407,0.019500000000000017,0.09970089730807577,0.0,0.020335306997824768,2
random,0.1,1200,0.1,0.19458333333333333,0.8054166666666667,0.19658333333333333,0.19371552732742772,0.8045537643343859,0.19544623566561414,0.008250000000000007,0.09704220671319375,0.10297559344700769,0.00954172096471671,2
