label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,selection_n,selection_recall,selection_fpr,holdout_n,holdout_positive_n,holdout_negative_n,holdout_tp,holdout_fn,holdout_fp,holdout_tn,holdout_recall,holdout_fpr,holdout_precision,holdout_intercept_rate,holdout_row_fpr_upper95,holdout_negative_dependency_groups,holdout_failed_dependency_groups,holdout_dependency_group_event_rate,holdout_dependency_group_event_upper95,primary_risk_gate_pass
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,selective_deployable,0.5,True,0.3812932653902908,0.1186737516249771,0.5,0.5285714285714286,428,0.6582278481012658,0.04871060171919771,420,71,349,55,16,14,335,0.7746478873239436,0.04011461318051576,0.7971014492753623,0.16428571428571428,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_compact_to_qwen,offline_ranked_diagnostic,0.5,False,,0.1186737516249771,0.5,0.5,428,0.6582278481012658,0.04871060171919771,420,71,349,56,15,22,327,0.7887323943661971,0.06303724928366762,0.717948717948718,0.18571428571428572,0.08879245157053443,347,22,0.06340057636887608,0.08929709961567887,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,cheap_only,,True,,0.32649760252569177,0.0,0.0,428,0.24050632911392406,0.045845272206303724,420,71,349,18,53,26,323,0.2535211267605634,0.07449856733524356,0.4090909090909091,0.10476190476190476,0.10186684887996843,347,26,0.07492795389048991,0.10244518112436252,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,full_information,,True,,0.33182521138420895,1.0,1.0,428,0.24050632911392406,0.04871060171919771,420,71,349,18,53,23,326,0.2535211267605634,0.0659025787965616,0.43902439024390244,0.09761904761904762,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,selective_deployable,0.1,True,0.20666509709995812,0.30820275926873586,0.102803738317757,0.12142857142857143,428,0.26582278481012656,0.045845272206303724,420,71,349,18,53,27,322,0.2535211267605634,0.07736389684813753,0.4,0.10714285714285714,0.10511016803183339,347,27,0.07780979827089338,0.10570675870055461,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.30820275926873586,0.10046728971962617,0.1,428,0.25316455696202533,0.045845272206303724,420,71,349,18,53,28,321,0.2535211267605634,0.08022922636103152,0.391304347826087,0.10952380952380952,0.10834438899688771,347,28,0.08069164265129683,0.10895917901725036,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,selective_deployable,0.25,True,0.3355379311324166,0.30820275926873586,0.2616822429906542,0.33095238095238094,428,0.26582278481012656,0.04871060171919771,420,71,349,18,53,30,319,0.2535211267605634,0.08595988538681948,0.375,0.11428571428571428,0.11478722277063949,347,30,0.08645533141210375,0.11543824422626413,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,offline_ranked_diagnostic,0.25,False,,0.30820275926873586,0.25,0.25,428,0.26582278481012656,0.04871060171919771,420,71,349,18,53,27,322,0.2535211267605634,0.07736389684813753,0.4,0.10714285714285714,0.10511016803183339,347,27,0.07780979827089338,0.10570675870055461,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,selective_deployable,0.5,True,0.38520538512462493,0.33182521138420895,1.0,1.0,428,0.24050632911392406,0.04871060171919771,420,71,349,18,53,23,326,0.2535211267605634,0.0659025787965616,0.43902439024390244,0.09761904761904762,0.0920773606800653,347,23,0.06628242074927954,0.09260053407755514,False
audited,y,dependency_primary,primary_dependency_group,2718,rule_to_compact,offline_ranked_diagnostic,0.5,False,,0.30820275926873586,0.5,0.5,428,0.2911392405063291,0.04871060171919771,420,71,349,18,53,30,319,0.2535211267605634,0.08595988538681948,0.375,0.11428571428571428,0.11478722277063949,347,30,0.08645533141210375,0.11543824422626413,False
